ENSG00000000003	4
ENSG00000000005	8
ENSG00000000419	2
ENSG00000000457	3
ENSG00000000460	3
ENSG00000000938	5
ENSG00000000971	5
ENSG00000001036	2
ENSG00000001084	2
ENSG00000001167	2
ENSG00000001460	2
ENSG00000001461	2
ENSG00000001497	2
ENSG00000001561	3
ENSG00000001617	5
ENSG00000001626	7
ENSG00000001629	2
ENSG00000001630	4
ENSG00000001631	1
ENSG00000002016	2
ENSG00000002079	7
ENSG00000002330	2
ENSG00000002549	3
ENSG00000002586	2
ENSG00000002587	5
ENSG00000002726	8
ENSG00000002745	7
ENSG00000002746	6
ENSG00000002822	3
ENSG00000002834	3
ENSG00000002919	3
ENSG00000002933	6
ENSG00000003056	3
ENSG00000003096	4
ENSG00000003137	6
ENSG00000003147	3
ENSG00000003249	5
ENSG00000003393	3
ENSG00000003400	3
ENSG00000003402	3
ENSG00000003436	4
ENSG00000003509	3
ENSG00000003756	2
ENSG00000003987	5
ENSG00000003989	5
ENSG00000004059	2
ENSG00000004139	3
ENSG00000004142	2
ENSG00000004399	3
ENSG00000004455	2
ENSG00000004468	5
ENSG00000004478	2
ENSG00000004487	2
ENSG00000004534	2
ENSG00000004660	4
ENSG00000004700	2
ENSG00000004766	2
ENSG00000004776	5
ENSG00000004777	4
ENSG00000004779	3
ENSG00000004799	5
ENSG00000004809	8
ENSG00000004838	6
ENSG00000004846	5
ENSG00000004848	9
ENSG00000004864	3
ENSG00000004866	2
ENSG00000004897	2
ENSG00000004939	8
ENSG00000004948	8
ENSG00000004961	2
ENSG00000004975	2
ENSG00000005001	8
ENSG00000005007	2
ENSG00000005020	4
ENSG00000005022	2
ENSG00000005059	3
ENSG00000005073	8
ENSG00000005075	2
ENSG00000005100	2
ENSG00000005102	6
ENSG00000005108	5
ENSG00000005156	2
ENSG00000005175	2
ENSG00000005187	5
ENSG00000005189	5
ENSG00000005194	2
ENSG00000005206	2
ENSG00000005238	3
ENSG00000005243	4
ENSG00000005249	4
ENSG00000005302	3
ENSG00000005339	2
ENSG00000005379	3
ENSG00000005381	8
ENSG00000005421	9
ENSG00000005436	2
ENSG00000005448	4
ENSG00000005469	3
ENSG00000005471	6
ENSG00000005483	3
ENSG00000005486	3
ENSG00000005513	6
ENSG00000005700	2
ENSG00000005801	2
ENSG00000005810	3
ENSG00000005812	3
ENSG00000005844	4
ENSG00000005882	3
ENSG00000005884	3
ENSG00000005889	3
ENSG00000005893	3
ENSG00000005961	6
ENSG00000005981	7
ENSG00000006007	2
ENSG00000006015	3
ENSG00000006016	6
ENSG00000006025	3
ENSG00000006042	4
ENSG00000006047	7
ENSG00000006059	10
ENSG00000006062	3
ENSG00000006071	7
ENSG00000006116	9
ENSG00000006118	5
ENSG00000006125	2
ENSG00000006128	7
ENSG00000006194	3
ENSG00000006210	4
ENSG00000006282	2
ENSG00000006283	6
ENSG00000006327	4
ENSG00000006377	8
ENSG00000006432	4
ENSG00000006451	3
ENSG00000006453	5
ENSG00000006459	2
ENSG00000006468	5
ENSG00000006530	2
ENSG00000006534	4
ENSG00000006555	6
ENSG00000006576	2
ENSG00000006606	8
ENSG00000006607	2
ENSG00000006611	8
ENSG00000006625	2
ENSG00000006634	3
ENSG00000006638	4
ENSG00000006652	4
ENSG00000006659	10
ENSG00000006695	2
ENSG00000006704	4
ENSG00000006712	2
ENSG00000006715	2
ENSG00000006740	4
ENSG00000006744	1
ENSG00000006747	5
ENSG00000006756	3
ENSG00000006757	2
ENSG00000006788	8
ENSG00000006831	2
ENSG00000006837	4
ENSG00000007001	8
ENSG00000007038	7
ENSG00000007047	3
ENSG00000007062	5
ENSG00000007080	3
ENSG00000007129	5
ENSG00000007168	2
ENSG00000007171	6
ENSG00000007174	6
ENSG00000007202	2
ENSG00000007216	9
ENSG00000007237	3
ENSG00000007255	3
ENSG00000007264	5
ENSG00000007306	9
ENSG00000007312	6
ENSG00000007314	7
ENSG00000007341	3
ENSG00000007350	7
ENSG00000007372	6
ENSG00000007376	3
ENSG00000007384	5
ENSG00000007392	2
ENSG00000007402	5
ENSG00000007516	5
ENSG00000007520	3
ENSG00000007541	3
ENSG00000007545	2
ENSG00000007866	5
ENSG00000007908	6
ENSG00000007923	2
ENSG00000007933	6
ENSG00000007944	2
ENSG00000007952	8
ENSG00000007968	6
ENSG00000008018	2
ENSG00000008056	7
ENSG00000008083	4
ENSG00000008086	3
ENSG00000008118	7
ENSG00000008128	3
ENSG00000008130	3
ENSG00000008196	9
ENSG00000008197	10
ENSG00000008226	5
